molecule	log2FC	p	p_FDR	Regulation
349	-39.82688791787817	0.035223476888341106		Down
350	0.0			Not significant
351	0.0			Not significant
352	39.29842918905615	0.0025267081199268526		Up
353	5.906118427478085	0.0055418018918759		Up
354	0.0			Not significant
355	-42.14609958992519	0.05866980496130824		Not significant
356	-43.835412962042874	0.004757235046982382		Down
357	-42.60906897039553	0.007838742468478856		Down
358	0.9507975381439698	0.3037716166144088		Not significant
359	-36.403098469761225	0.17296699840584223		Not significant
360	-0.1673662214310969	0.6864682970678919		Not significant
361	5.064898321948863	0.18420351585486178		Not significant
362	3.832003625915192	0.011074627052007124		Up
363	3.276838642270157	0.014472211134710177		Up
364	40.40469231948221	0.052553005914703375		Not significant
365	-38.34976319047539	0.0884820814312178		Not significant
366	1.7096196833156112	0.02581371490659527		Up
367	0.0			Not significant
368	-40.62830874125852	0.048163362739072596		Down
369	4.551862652252256	0.14595359012942835		Not significant
370	0.0			Not significant
371	40.00960384093428	0.0010116513846293834		Up
372	39.57485283538898	0.0036155214664124113		Up
373	-36.23371590333716	0.011000196595740397		Down
374	-42.31563706697637	0.044926970728707515		Down
375	-43.896665067655206	0.0051530317824082465		Down
376	-42.856711634310486	0.005770506738698366		Down
377	3.848952102047484	0.005390817465481214		Up
378	0.0			Not significant
379	-38.54690396033026	0.05799944572799293		Not significant
380	-0.725875064661866	0.5992888912903194		Not significant
381	-41.09641456179979	0.034003894160854226		Down
382	0.0			Not significant
383	0.0			Not significant
384	37.27236315110568	0.0023100050213417083		Up
385	0.7187505443488758	0.3815636633804289		Not significant
386	8.235195641317711	0.004111154513237061		Up
387	40.03057482850386	0.0015188202528357163		Up
388	-42.49385911245743	0.05546957882836133		Not significant
389	-43.86438254844698	0.0034288869621244885		Down
390	-42.940473864131256	0.0026012942921326623		Down
391	5.967388700438242	0.18764282641024393		Not significant
392	2.826425753770035	0.16861439171560505		Not significant
393	4.147963700045157	0.02431922144022538		Up
394	4.042044594603798	0.011662199458493182		Up
395	42.32289549129428	0.11506456564365966		Not significant
396	-41.43449942542359	0.04119404203676633		Down
397	0.0			Not significant
398	0.0			Not significant
399	-42.35961060091967	0.04394113735658838		Down
400	-43.77473228200117	0.0028098955517052563		Down
401	-42.97706090270581	0.0019137997058360549		Down
402	40.01119479865302	0.0032553878510969653		Up
403	39.868866040133604	0.009432056419628887		Up
404	0.9989093495260972	0.26050589201581303		Not significant
405	4.733820765495749	0.02579230751528483		Up
406	-41.16447564278988	0.05068823804982465		Not significant
407	0.0			Not significant
408	0.0			Not significant
409	-42.158968003795444	0.05128971784992318		Not significant
410	-42.926767893011444	0.00215574307951681		Down
411	-39.35279515648666	0.0032239490697397464		Down
412	-43.64635103591484	0.0027078301485378682		Down
413	39.92182509626385	0.0005145628835623652		Up
414	39.38248767761317	0.03700823475533823		Up
415	1.8248811630880555	0.009749352120756845		Up
416	0.0			Not significant
417	4.587641630031998	0.1546412244245456		Not significant
418	4.096229878972632	0.0032002308172433794		Up
419	4.123922627137116	0.020670748846983385		Up
420	-41.49481327783265	0.04241734306248574		Down
421	0.0			Not significant
422	0.0			Not significant
423	1.7688007256996816	0.023680368231645613		Up
424	7.129157574082083	0.15439183247445606		Not significant
425	1.4821342227897985	0.018299981052982323		Up
426	39.76098400125718	0.022617899179034676		Up
427	-41.93366213074493	0.0385927866573747		Down
428	-36.95608228286956	0.006189754510604138		Down
429	-43.59141551864944	0.0021174521104085344		Down
430	-42.86465261489316	0.002234604050927679		Down
431	0.852194977564485	0.30582990328398707		Not significant
432	0.7380136209460743	0.3670043718746933		Not significant
433	4.843309086725041	0.020013421468891804		Up
434	4.0835118802506205	0.15668166521132088		Not significant
435	-41.70685858123308	0.04285378945786535		Down
436	0.0			Not significant
437	0.0			Not significant
438	39.137326787787345	0.03801932181716961		Up
439	38.61661753734882	0.016712873292544738		Up
440	-42.151983171630675	0.0416163305686937		Down
441	-43.225292672195586	0.0012897534889908348		Down
442	-42.6380336017692	0.0016648417054862625		Down
443	39.079539603290904	0.027175399091849177		Up
444	1.659924407497156	0.026090238294591766		Up
445	1.527068759579152	0.017378837575831654		Up
446	1.0410650500734229	0.06899111563725344		Not significant
447	39.28174475839738	0.052618732240360185		Not significant
448	3.689240875136052	0.04975783016266435		Up
449	-41.969846276647566	0.040675387518834386		Down
450	0.0			Not significant
451	0.0			Not significant
452	-42.90095057005769	0.0020006496302790236		Down
453	-42.37894038056192	0.002223072624794251		Down
454	-40.391328322726004	0.012592537282931757		Down
455	-6.327618434428154	0.029938816698742432		Down
