ID metabolite	FC	log2(FC)	p.ajusted	log p	regulation
Peak528	6.58E-08	-23.857	6.81E-06	5.1667	down
Peak603	6.46E-08	-23.885	8.71E-06	5.0599	down
Peak600	6.36E-08	-23.906	2.66E-05	4.5755	down
Peak496	6.24E-08	-23.934	4.16E-05	4.3807	down
Peak533	6.14E-08	-23.956	6.81E-06	5.1667	down
Peak914	6.09E-08	-23.969	0.0004376	3.3589	down
Peak521	5.98E-08	-23.996	8.62E-06	5.0646	down
Peak516	5.91E-08	-24.011	6.06E-05	4.2176	down
Peak504	5.91E-08	-24.012	4.42E-05	4.3542	down
Peak883	5.88E-08	-24.02	0.0007559	3.1215	down
Peak581	5.70E-08	-24.066	6.81E-06	5.1667	down
Peak527	5.60E-08	-24.091	6.81E-06	5.1667	down
Peak839	5.58E-08	-24.096	9.91E-05	4.0039	down
Peak853	5.56E-08	-24.101	0.00074179	3.1297	down
Peak601	5.55E-08	-24.102	1.28E-05	4.8944	down
Peak368	5.52E-08	-24.111	3.78E-05	4.4224	down
Peak843	5.49E-08	-24.118	0.00040187	3.3959	down
Peak511	5.40E-08	-24.143	1.54E-05	4.8111	down
Peak264	5.26E-08	-24.182	4.42E-05	4.3542	down
Peak850	5.13E-08	-24.217	0.0032899	2.4828	down
Peak594	5.04E-08	-24.242	1.68E-05	4.7759	down
Peak851	5.03E-08	-24.245	0.0025677	2.5905	down
Peak534	4.99E-08	-24.256	5.96E-05	4.2244	down
Peak577	4.99E-08	-24.258	6.81E-06	5.1667	down
Peak893	4.96E-08	-24.264	0.0002963	3.5283	down
Peak841	4.96E-08	-24.264	0.00031885	3.4964	down
Peak598	4.94E-08	-24.272	4.16E-05	4.3812	down
Peak599	4.89E-08	-24.284	2.34E-05	4.6314	down
Peak854	4.83E-08	-24.302	0.00063385	3.198	down
Peak509	4.83E-08	-24.303	3.81E-05	4.4193	down
Peak381	4.78E-08	-24.319	2.79E-05	4.5536	down
