molecule	log2FC	p	p_FDR	Regulation
299	-1.5541470852901282	0.03382266132090256		Down
300	0.0			Not significant
301	-0.977951538687738	0.21030695953975262		Not significant
302	-36.359664199708774	0.11874690959695638		Not significant
303	-1.404384322090884	0.3343995512991158		Not significant
304	-1.1225808540328244	0.11108958631463166		Not significant
305	0.5843356187038323	0.5778035559629026		Not significant
306	0.21767366079420222	0.7315014907173848		Not significant
307	-37.226977239324526	0.1223499458177914		Not significant
308	-3.1517073585556243	0.021040097866297416		Down
309	-2.3955098927501988	0.06566048785373152		Not significant
310	37.33722029825097	0.3739009663000589		Not significant
311	2.4570252675830524	0.31117146354553693		Not significant
312	-36.46230598902718	0.06506237597470658		Not significant
313	-6.1572985414609125	0.07495289853776281		Not significant
314	37.79810331006328	0.20063663339975382		Not significant
315	-1.2148773688251302	0.3907527557961924		Not significant
316	6.882558105545956	0.12586821541331739		Not significant
317	-2.169793852522309	0.18111688002478807		Not significant
318	-37.16012820268123	0.09982355916929904		Not significant
319	37.526183887607765	0.373900966300059		Not significant
320	-36.92139181930317	0.12506251489635892		Not significant
321	-1.9197659036394799	0.041182962694001735		Down
322	-36.546702980305305	0.16090377168779327		Not significant
323	-1.4142344337374972	0.06644515576349115		Not significant
324	-1.6759622064877917	0.14298170300423985		Not significant
325	-33.645904574730025	0.11990708891961752		Not significant
326	2.7343131544287647	0.03287757121352554		Up
327	-1.437941179991848	0.19417035204243874		Not significant
328	-38.23343704810341	0.06530690317281354		Not significant
329	-33.93079100933663	0.11699991911033285		Not significant
330	38.638554334230896	0.21457345899783362		Not significant
331	-1.8471851930004364	0.10048308525867349		Not significant
332	-1.195402029579878	0.06036234118821339		Not significant
333	-1.3819116452069717	0.04183182727826453		Down
334	-1.2922822758979153	0.04719038362238821		Down
335	-1.5850509534280146	0.04320349064387874		Down
336	1.9583879421469246	0.09206670741203074		Not significant
337	-1.7973009977082302	0.145391905265766		Not significant
338	1.1324531963032043	0.2042117435048749		Not significant
339	-1.0853171791346072	0.1854829688318691		Not significant
340	-0.8576599904340843	0.19313326466296996		Not significant
341	-1.623575608620474	0.04633122526736526		Down
342	-1.5280664418831644	0.14828294410331777		Not significant
343	-38.255620181742465	0.11766099999644661		Not significant
344	-36.84399262281597	0.06667303598573289		Not significant
345	37.104122066073934	0.373900966300059		Not significant
346	-34.15194685678498	0.23190639884033556		Not significant
347	-36.782356241966795	0.02598341354864201		Down
348	-39.72575619356643	0.030523282154774328		Down
349	-1.291260842171796	0.20296026031910125		Not significant
350	0.0			Not significant
351	0.0			Not significant
352	32.700943412242886	0.373900966300059		Not significant
353	-33.947130363834056	0.004768179098213622		Down
354	38.78002687613256	0.3739009663000589		Not significant
355	-2.4430767467084653	0.1028516374488892		Not significant
356	-1.0681142765456917	0.055572518866252814		Not significant
357	-1.2000739911494163	0.07450762959920394		Not significant
358	-40.03025549231728	0.1191364767213901		Not significant
359	-1.2682704880183369	0.469438955179934		Not significant
360	2.242274822473235	0.09271265203337868		Not significant
361	-31.901649588095765	0.3739009663000589		Not significant
362	-0.3693334221497724	0.6272114126226467		Not significant
363	-0.27008820465150984	0.7318253212870497		Not significant
364	0.0			Not significant
365	-38.34976319047539	0.0884820814312178		Not significant
366	-3.814059415431888	0.05452746483673593		Not significant
367	0.0			Not significant
368	-1.3586854720581258	0.2251634218862127		Not significant
369	-36.591737580730054	0.12740257125297955		Not significant
370	0.0			Not significant
371	31.567417110132133	0.3739009663000589		Not significant
372	33.11497289035965	0.16011586918702692		Not significant
373	-1.620235276316732	0.11928770315620245		Not significant
374	-2.2007767643730345	0.09495790505311533		Not significant
375	-1.0537188054180209	0.0636566524992603		Not significant
376	-1.2495206372305094	0.053715597385560254		Not significant
377	-0.44968229561434997	0.497718521079933		Not significant
378	39.936379172872854	0.373900966300059		Not significant
379	-38.54690396033026	0.05799944572799293		Not significant
380	3.3402058821016194	0.05671636241289524		Not significant
381	-1.6269857864423292	0.13647399713644165		Not significant
382	0.0			Not significant
383	0.0			Not significant
384	0.0			Not significant
385	-42.448355598852636	0.10258970975491528		Not significant
386	-31.66934453646132	0.373900966300059		Not significant
387	32.11633638809326	0.373900966300059		Not significant
388	-1.9799596507171504	0.12748789629663132		Not significant
389	-0.7544644591550422	0.12669283024936395		Not significant
390	-1.015548905752696	0.05797667173389808		Not significant
391	-35.542145183734654	0.1228270439108432		Not significant
392	-35.13348808367882	0.23064611407217483		Not significant
393	0.18878979394185696	0.8264649771313914		Not significant
394	0.22243658637969543	0.7966906453750239		Not significant
395	0.0			Not significant
396	-1.7473107094354159	0.13494614033371047		Not significant
397	0.0			Not significant
398	0.0			Not significant
399	-1.775788793639201	0.1276867686436809		Not significant
400	-0.645182627670066	0.16970825169186698		Not significant
401	-0.9665722002212276	0.05139664584185911		Not significant
402	0.0			Not significant
403	32.68418274651184	0.373900966300059		Not significant
404	-40.639486519861414	0.1086279012158918		Not significant
405	0.16667626265852395	0.8744534461403518		Not significant
406	-1.2168143470015973	0.26972639249278485		Not significant
407	0.0			Not significant
408	0.0			Not significant
409	-2.3291649245328707	0.09977223134921749		Not significant
410	-0.9720892953725021	0.04667584383045892		Down
411	-0.9866776961401175	0.05668372039541212		Not significant
412	-0.6783449085096273	0.1327602217051925		Not significant
413	0.0			Not significant
414	32.023999239664164	0.373900966300059		Not significant
415	-5.396638778075493	0.02862888677173086		Down
416	37.778617899611056	0.373900966300059		Not significant
417	-38.0489518178815	0.12411446079903941		Not significant
418	-0.49792805697860576	0.4717609622549864		Not significant
419	-0.8971568133369471	0.35634603677789745		Not significant
420	-1.280224532202214	0.22350129696427876		Not significant
421	0.0			Not significant
422	0.0			Not significant
423	-6.521423658670202	0.05088256302361003		Not significant
424	-32.46029883671933	0.373900966300059		Not significant
425	-5.820408879229828	0.040223419300430927		Down
426	34.173320881333126	0.373900966300059		Not significant
427	-1.8840932155411225	0.1097963238538351		Not significant
428	-1.3679381676883011	0.036019189128321215		Down
429	-0.795608885838825	0.08679374560916081		Not significant
430	-1.063181877645582	0.03355363103298525		Down
431	-34.74574728184882	0.15162847223151985		Not significant
432	-42.34563364341572	0.10359220884535092		Not significant
433	-0.3649425334163583	0.868455344396423		Not significant
434	-36.58549651051065	0.15158706487464735		Not significant
435	-1.1247151822130788	0.2745331684138925		Not significant
436	0.0			Not significant
437	0.0			Not significant
438	0.0			Not significant
439	33.03436534085054	0.117506570974636		Not significant
440	-2.1139045251843323	0.09700038600100443		Not significant
441	-0.5545174313768196	0.18390700170456487		Not significant
442	-0.9607257498106582	0.0419689212344123		Down
443	32.775900340579874	0.3739009663000589		Not significant
444	-5.918171978052538	0.057797118087788465		Not significant
445	-37.40503204754764	0.06630171949851439		Not significant
446	-37.97038064748961	0.06198301753359966		Not significant
447	0.0			Not significant
448	-0.5185247815996894	0.38091832831256567		Not significant
449	-1.5953013514324774	0.15816655218133716		Not significant
450	0.0			Not significant
451	0.0			Not significant
452	-0.43269617714057895	0.370232539001188		Not significant
453	-0.7993761363440133	0.09556061635008646		Not significant
