molecule	log2FC	p	p_FDR	Regulation
456	-39.228906309016956	0.0625592511092969		Not significant
457	-5.265630382649902	0.027400750688701302		Down
458	-37.32197012276783	0.02405369423670841		Down
459	38.60432383278683	0.14355159358431432		Not significant
460	39.507060698786695	0.009655426232667519		Up
461	41.823045177763525	0.036781177393409886		Up
462	41.361886692422885	0.014553682991639446		Up
463	6.623946246072295	0.1873783962952005		Not significant
464	41.14402306743094	0.032502699675030604		Up
465	41.99510619959316	0.028748505058473154		Up
466	-38.80409840470119	0.1522925522830786		Not significant
467	-5.171615777361046	0.037835742244713526		Down
468	36.28859816220281	0.373900966300059		Not significant
469	-7.6056218117675884	0.008916519761718037		Down
470	40.213387786389184	0.16458329797950344		Not significant
471	39.96365053828935	0.00023470290003013898		Up
472	0.0			Not significant
473	0.0			Not significant
474	-37.86481688089203	0.05254379843946761		Not significant
475	-2.626261803386376	0.020882926721100554		Down
476	-38.14498013329413	0.04159009568185754		Down
477	5.6957508626094215	0.13194347831922384		Not significant
478	39.99572867688416	0.0002900774527185735		Up
479	41.402844264090064	0.08398119583780118		Not significant
480	40.586125863213496	0.036763738521356275		Up
481	2.9488738338424643	0.20866306137227003		Not significant
482	38.353759718581315	0.15115838854710362		Not significant
483	-41.9674559961678	0.1132263518201699		Not significant
484	40.19332197667014	0.0031397167658356352		Up
485	0.0			Not significant
486	0.0			Not significant
487	-38.341821032675284	0.043953533312405445		Down
488	-37.57985516808726	0.11430626131643715		Not significant
489	40.85012614291438	0.13234545535063358		Not significant
490	40.06754144880114	0.08952560202931696		Not significant
491	40.01444145224586	0.001012207087420762		Up
492	39.25802326394883	0.010329151063467185		Up
493	38.81070569377967	0.19750360249810556		Not significant
494	38.102144069880936	0.005556865825644127		Up
495	-4.643187702283063	0.11075730870958338		Not significant
496	39.12844045719991	0.15747307246628955		Not significant
497	39.47639066093175	0.012546969655710121		Up
498	40.134053538379874	0.005990717427502997		Up
499	0.0			Not significant
500	0.0			Not significant
501	39.573338575934656	0.373900966300059		Not significant
502	-37.92450363023702	4.630734987507885e-05		Down
503	-42.87589511357945	0.13676402392443796		Not significant
504	39.19767983228098	0.1770497891965506		Not significant
505	39.596581685742045	0.03179619238963527		Up
506	-39.15777453735182	0.02235446180550139		Down
507	39.804253117624405	0.0007378484032982883		Up
508	40.23452897164747	0.1699919498305892		Not significant
509	39.44832263073055	0.17734831342356291		Not significant
510	39.83499262740432	0.003483596328926724		Up
511	39.10168991216613	0.01809342876193212		Up
512	0.0			Not significant
513	0.0			Not significant
514	-4.044801696001786	0.0025325017861645145		Down
515	39.58370850910674	0.05006156394843622		Not significant
516	39.21104551765703	0.19567719571664052		Not significant
517	39.58348371908163	0.0006439024460958401		Up
518	39.63024280890002	0.2212489928716957		Not significant
